,Deployment.ID1,Deployment.ID,Image.Sequence.ID,Image.ID,Location,Image.File.Name,Photo.Type,Photo.Type.Identified.by,Genus.Species,Species.Common.Name,TSN.ID,IUCN.ID,IUCN.Status,Date.Time,Interest.Rank,Age,Count,Animal.recognizable,Individual.Animal.Notes,Digital.Origin,Embargo.Period,Restrictions.on.Access,Image.Use.Restrictions
1413,d34171,L-WL16-G07A,,L-WL16-G07A-0829,,IMAG0829,,,Turdus mupinensis,Chinese Thrush,,,,7/4/2016 11:40,,,1,,,,,,
1414,d34171,L-WL16-G07A,,L-WL16-G07A-0830,,IMAG0830,,,Turdus mupinensis,Chinese Thrush,,,,7/4/2016 11:40,,,1,,,,,,
1415,d34171,L-WL16-G07A,,L-WL16-G07A-0831,,IMAG0831,,,Turdus mupinensis,Chinese Thrush,,,,7/4/2016 11:40,,,1,,,,,,
1449,d34171,L-WL16-G07A,,L-WL16-G07A-0877,,IMAG0877,,,Turdus mupinensis,Chinese Thrush,,,,7/9/2016 12:00,,,1,,,,,,
1450,d34171,L-WL16-G07A,,L-WL16-G07A-0878,,IMAG0878,,,Turdus mupinensis,Chinese Thrush,,,,7/9/2016 12:00,,,1,,,,,,
1451,d34171,L-WL16-G07A,,L-WL16-G07A-0879,,IMAG0879,,,Turdus mupinensis,Chinese Thrush,,,,7/9/2016 12:00,,,1,,,,,,
1452,d34171,L-WL16-G07A,,L-WL16-G07A-0881,,IMAG0881,,,Turdus mupinensis,Chinese Thrush,,,,7/10/2016 9:57,,,1,,,,,,
1453,d34171,L-WL16-G07A,,L-WL16-G07A-0882,,IMAG0882,,,Turdus mupinensis,Chinese Thrush,,,,7/10/2016 9:57,,,1,,,,,,
1470,d34171,L-WL16-G07A,,L-WL16-G07A-0905,,IMAG0905,,,Turdus mupinensis,Chinese Thrush,,,,7/11/2016 14:05,,,1,,,,,,
1471,d34171,L-WL16-G07A,,L-WL16-G07A-0906,,IMAG0906,,,Turdus mupinensis,Chinese Thrush,,,,7/11/2016 14:05,,,1,,,,,,
1472,d34171,L-WL16-G07A,,L-WL16-G07A-0907,,IMAG0907,,,Turdus mupinensis,Chinese Thrush,,,,7/11/2016 14:05,,,1,,,,,,
1479,d34171,L-WL16-G07A,,L-WL16-G07A-0917,,IMAG0917,,,Turdus mupinensis,Chinese Thrush,,,,7/14/2016 12:10,,,1,,,,,,
1480,d34171,L-WL16-G07A,,L-WL16-G07A-0918,,IMAG0918,,,Turdus mupinensis,Chinese Thrush,,,,7/14/2016 12:11,,,1,,,,,,
1481,d34171,L-WL16-G07A,,L-WL16-G07A-0919,,IMAG0919,,,Turdus mupinensis,Chinese Thrush,,,,7/14/2016 12:11,,,1,,,,,,
1482,d34171,L-WL16-G07A,,L-WL16-G07A-0921,,IMAG0921,,,Turdus mupinensis,Chinese Thrush,,,,7/14/2016 17:07,,,1,,,,,,
1483,d34171,L-WL16-G07A,,L-WL16-G07A-0922,,IMAG0922,,,Turdus mupinensis,Chinese Thrush,,,,7/14/2016 17:07,,,1,,,,,,
1484,d34171,L-WL16-G07A,,L-WL16-G07A-0923,,IMAG0923,,,Turdus mupinensis,Chinese Thrush,,,,7/14/2016 17:07,,,1,,,,,,
1485,d34171,L-WL16-G07A,,L-WL16-G07A-0925,,IMAG0925,,,Turdus mupinensis,Chinese Thrush,,,,7/15/2016 12:39,,,1,,,,,,
1486,d34171,L-WL16-G07A,,L-WL16-G07A-0926,,IMAG0926,,,Turdus mupinensis,Chinese Thrush,,,,7/15/2016 12:39,,,1,,,,,,
1487,d34171,L-WL16-G07A,,L-WL16-G07A-0927,,IMAG0927,,,Turdus mupinensis,Chinese Thrush,,,,7/15/2016 12:40,,,1,,,,,,
1494,d34171,L-WL16-G07A,,L-WL16-G07A-0937,,IMAG0937,,,Turdus mupinensis,Chinese Thrush,,,,7/15/2016 13:24,,,1,,,,,,
1495,d34171,L-WL16-G07A,,L-WL16-G07A-0938,,IMAG0938,,,Turdus mupinensis,Chinese Thrush,,,,7/15/2016 13:24,,,1,,,,,,
1496,d34171,L-WL16-G07A,,L-WL16-G07A-0939,,IMAG0939,,,Turdus mupinensis,Chinese Thrush,,,,7/15/2016 13:24,,,1,,,,,,
1515,d34171,L-WL16-G07A,,L-WL16-G07A-0965,,IMAG0965,,,Turdus mupinensis,Chinese Thrush,,,,7/21/2016 7:18,,,1,,,,,,
1516,d34171,L-WL16-G07A,,L-WL16-G07A-0966,,IMAG0966,,,Turdus mupinensis,Chinese Thrush,,,,7/21/2016 7:18,,,1,,,,,,
1517,d34171,L-WL16-G07A,,L-WL16-G07A-0967,,IMAG0967,,,Turdus mupinensis,Chinese Thrush,,,,7/21/2016 7:18,,,1,,,,,,
1539,d34171,L-WL16-G07A,,L-WL16-G07A-0997,,IMAG0997,,,Turdus mupinensis,Chinese Thrush,,,,7/24/2016 17:07,,,1,,,,,,
1540,d34171,L-WL16-G07A,,L-WL16-G07A-0998,,IMAG0998,,,Turdus mupinensis,Chinese Thrush,,,,7/24/2016 17:07,,,1,,,,,,
1541,d34171,L-WL16-G07A,,L-WL16-G07A-0999,,IMAG0999,,,Turdus mupinensis,Chinese Thrush,,,,7/24/2016 17:07,,,1,,,,,,
1560,d34171,L-WL16-G07A,,L-WL16-G07A-1025,,IMAG1025,,,Turdus mupinensis,Chinese Thrush,,,,7/30/2016 11:12,,,1,,,,,,
