,BINOMIAL:,CITATION:,FAMILY:,GENUS:,COMMON:,TSN:,IUCN_ID:,ORDER:,IUCN_STATUS:,CLASS:
penelope montagnii,Penelope montagnii,Birdlife International 2011,CRACIDAE,Penelope,Andean Guan,175735,22678364,GALLIFORMES,LC,AVES
penelope obscura,Penelope obscura,Birdlife International 2011,CRACIDAE,Penelope,Dusky-legged Guan,175736,22678389,GALLIFORMES,LC,AVES
penelope ochrogaster,Penelope ochrogaster,Birdlife International 2011,CRACIDAE,Penelope,Chestnut-bellied Guan,175737,22678395,GALLIFORMES,VU,AVES
penelope ortoni,Penelope ortoni,Birdlife International 2011,CRACIDAE,Penelope,Baudo Guan,175738,22678360,GALLIFORMES,EN,AVES
penelope perspicax,Penelope perspicax,Birdlife International 2011,CRACIDAE,Penelope,Cauca Guan,175739,22678379,GALLIFORMES,EN,AVES
penelope pileata,Penelope pileata,Birdlife International 2011,CRACIDAE,Penelope,White-crested Guan,175740,22678392,GALLIFORMES,VU,AVES
penelope purpurascens,Penelope purpurascens,Birdlife International 2011,CRACIDAE,Penelope,Crested Guan,175741,22678376,GALLIFORMES,LC,AVES
penelope superciliaris,Penelope superciliaris,Birdlife International 2011,CRACIDAE,Penelope,Rusty-margined Guan,175742,22678370,GALLIFORMES,LC,AVES
penelopina nigra,Penelopina nigra,Birdlife International 2011,CRACIDAE,Penelopina,Highland Guan,175751,22678449,GALLIFORMES,VU,AVES
philemon citreogularis,Philemon citreogularis,Birdlife International 2011,MELIPHAGIDAE,Philemon,Little Friarbird,561986,22731197,PASSERIFORMES,LC,AVES
pipile cujubi,Pipile cujubi,Birdlife International 2011,CRACIDAE,Pipile,Red-throated Piping-guan,553812,22678422,GALLIFORMES,LC,AVES
pipile jacutinga,Pipile jacutinga,Birdlife International 2011,CRACIDAE,Pipile,Black-fronted Piping-guan,553813,22678429,GALLIFORMES,EN,AVES
pipile pipile,Pipile pipile,Birdlife International 2011,CRACIDAE,Pipile,Trinidad Piping-guan,553810,22678401,GALLIFORMES,CR,AVES
pternistis adspersus,Pternistis adspersus,Birdlife International 2011,PHASIANIDAE,Francolinus,Red-billed Francolin,175961,22678819,GALLIFORMES,LC,AVES
pternistis ahantensis,Pternistis ahantensis,Birdlife International 2011,PHASIANIDAE,Francolinus,Ahanta Francolin,175964,22678835,GALLIFORMES,LC,AVES
pternistis bicalcaratus,Pternistis bicalcaratus,Birdlife International 2011,PHASIANIDAE,Francolinus,Double-spurred Francolin,175966,22678803,GALLIFORMES,LC,AVES
pternistis capensis,Pternistis capensis,Birdlife International 2011,PHASIANIDAE,Francolinus,Cape Francolin,175968,22678823,GALLIFORMES,LC,AVES
pternistis clappertoni,Pternistis clappertoni,Birdlife International 2011,PHASIANIDAE,Francolinus,Clapperton's Francolin,175970,22678807,GALLIFORMES,LC,AVES
pternistis griseostriatus,Pternistis griseostriatus,Birdlife International 2011,PHASIANIDAE,Francolinus,Grey-striped Francolin,175975,22678843,GALLIFORMES,LC,AVES
pternistis hartlaubi,Pternistis hartlaubi,Birdlife International 2011,PHASIANIDAE,Francolinus,Hartlaub's Francolin,175977,22678799,GALLIFORMES,LC,AVES
pternistis harwoodi,Pternistis harwoodi,Birdlife International 2011,PHASIANIDAE,Francolinus,Harwood's Francolin,175978,22678815,GALLIFORMES,VU,AVES
pternistis hildebrandti,Pternistis hildebrandti,Birdlife International 2011,PHASIANIDAE,Francolinus,Hildebrandt's Francolin,175979,22678827,GALLIFORMES,LC,AVES
pternistis icterorhynchus,Pternistis icterorhynchus,Birdlife International 2011,PHASIANIDAE,Francolinus,Heuglin's Francolin,175980,22678811,GALLIFORMES,LC,AVES
pternistis natalensis,Pternistis natalensis,Birdlife International 2011,PHASIANIDAE,Francolinus,Natal Francolin,175987,22678831,GALLIFORMES,LC,AVES
pternistis squamatus,Pternistis squamatus,Birdlife International 2011,PHASIANIDAE,Francolinus,Scaly Francolin,175998,22678839,GALLIFORMES,LC,AVES
ptilopachus nahani,Ptilopachus nahani,Birdlife International 2011,PHASIANIDAE,Ptilopachus,Nahan's Francolin,175986,22678795,GALLIFORMES,EN,AVES
rhea americana,Rhea americana,Birdlife International 2011,RHEIDAE,Rhea,Greater Rhea,174379,22678073,STRUTHIONIFORMES,NT,AVES
scleroptila afra,Scleroptila afra,Birdlife International 2011,PHASIANIDAE,Francolinus,Grey-winged Francolin,175963,22678764,GALLIFORMES,LC,AVES
scleroptila finschi,Scleroptila finschi,Birdlife International 2011,PHASIANIDAE,Francolinus,Finsch's Francolin,175973,22678760,GALLIFORMES,LC,AVES
scleroptila gutturalis,Scleroptila gutturalis,Birdlife International 2011,PHASIANIDAE,Francolinus,Orange River Francolin,677543,22678790,GALLIFORMES,LC,AVES
